tool,sample,signature,browserExposure,localExposure,absoluteDifference
deconstructsigs,SP50406,SBS3,0,0,0
deconstructsigs,SP50406,SBS30,0,0,0
deconstructsigs,SP50406,SBS31,0.042934020460556784,0.042934020460556784,0
deconstructsigs,SP50406,SBS32,0.07762762920206549,0.07762762920206549,0
deconstructsigs,SP50406,SBS33,0,0,0
deconstructsigs,SP50406,SBS34,0,0,0
deconstructsigs,SP50406,SBS35,0,0,0
deconstructsigs,SP50406,SBS36,0.027997546756327592,0.027997546756327592,0
deconstructsigs,SP50406,SBS37,0.009965182575545546,0.009965182575545546,0
deconstructsigs,SP50406,SBS38,0,0,0
deconstructsigs,SP50406,SBS39,0.05449916632030459,0.05449916632030459,0
deconstructsigs,SP50406,SBS4,0,0,0
deconstructsigs,SP50406,SBS40,0.009959996367966196,0.009959996367966196,0
deconstructsigs,SP50406,SBS41,0.050476268936042595,0.050476268936042595,0
deconstructsigs,SP50406,SBS42,0,0,0
deconstructsigs,SP50406,SBS43,0,0,0
deconstructsigs,SP50406,SBS44,0,0,0
deconstructsigs,SP50406,SBS45,0,0,0
deconstructsigs,SP50406,SBS46,0,0,0
deconstructsigs,SP50406,SBS47,0,0,0
deconstructsigs,SP50406,SBS48,0,0,0
deconstructsigs,SP50406,SBS49,0,0,0
deconstructsigs,SP50406,SBS5,0.17044916527784196,0.17044916527784196,0
deconstructsigs,SP50406,SBS50,0,0,0
deconstructsigs,SP50406,SBS51,0.032104901224357996,0.032104901224357996,0
deconstructsigs,SP50406,SBS52,0,0,0
deconstructsigs,SP50406,SBS53,0,0,0
deconstructsigs,SP50406,SBS54,0,0,0
deconstructsigs,SP50406,SBS55,0,0,0
deconstructsigs,SP50406,SBS56,0,0,0
deconstructsigs,SP50406,SBS57,0,0,0
deconstructsigs,SP50406,SBS58,0,0,0
deconstructsigs,SP50406,SBS59,0.002470028280317429,0.002470028280317429,0
deconstructsigs,SP50406,SBS6,0,0,0
deconstructsigs,SP50406,SBS60,0,0,0
deconstructsigs,SP50406,SBS7a,0.031052019919862093,0.031052019919862093,0
deconstructsigs,SP50406,SBS7b,0,0,0
deconstructsigs,SP50406,SBS7c,0,0,0
deconstructsigs,SP50406,SBS7d,0.014380232591457197,0.014380232591457197,0
deconstructsigs,SP50406,SBS8,0.06352481941087008,0.06352481941087008,0
deconstructsigs,SP50406,SBS84,0,0,0
deconstructsigs,SP50406,SBS85,0,0,0
deconstructsigs,SP50406,SBS9,0,0,0
deconstructsigs,SP50412,SBS1,0.09872996267934019,0.09872996267934019,0
deconstructsigs,SP50412,SBS10a,0.002748920904100862,0.002748920904100862,0
deconstructsigs,SP50412,SBS10b,0.0019941395944763915,0.0019941395944763915,0
deconstructsigs,SP50412,SBS11,0,0,0
deconstructsigs,SP50412,SBS12,0.016090537684065015,0.016090537684065015,0
deconstructsigs,SP50412,SBS13,0.018832093855912013,0.018832093855912013,0
deconstructsigs,SP50412,SBS14,0,0,0
deconstructsigs,SP50412,SBS15,0.042941810160948626,0.042941810160948626,0
deconstructsigs,SP50412,SBS16,0.06247536023433545,0.06247536023433545,0
deconstructsigs,SP50412,SBS17a,0,0,0
deconstructsigs,SP50412,SBS17b,0.01313004301730211,0.01313004301730211,0
deconstructsigs,SP50412,SBS18,0,0,0
deconstructsigs,SP50412,SBS19,0.023303377795051518,0.023303377795051518,0
deconstructsigs,SP50412,SBS2,0.016479219373607815,0.016479219373607815,0
deconstructsigs,SP50412,SBS20,0,0,0
deconstructsigs,SP50412,SBS21,0.036477052747463524,0.036477052747463524,0
deconstructsigs,SP50412,SBS22,0,0,0
deconstructsigs,SP50412,SBS23,0,0,0
deconstructsigs,SP50412,SBS24,0.01276193901146211,0.01276193901146211,0
deconstructsigs,SP50412,SBS25,0,0,0
deconstructsigs,SP50412,SBS26,0,0,0
deconstructsigs,SP50412,SBS27,0,0,0
deconstructsigs,SP50412,SBS28,0,0,0
deconstructsigs,SP50412,SBS29,0,0,0
deconstructsigs,SP50412,SBS3,0.03177545185880783,0.03177545185880783,0
deconstructsigs,SP50412,SBS30,0.04670255357316883,0.04670255357316883,0
deconstructsigs,SP50412,SBS31,0.008061353256965147,0.008061353256965147,0
deconstructsigs,SP50412,SBS32,0,0,0
deconstructsigs,SP50412,SBS33,0,0,0
deconstructsigs,SP50412,SBS34,0.009712600663575037,0.009712600663575037,0
deconstructsigs,SP50412,SBS35,0,0,0
deconstructsigs,SP50412,SBS36,0,0,0
deconstructsigs,SP50412,SBS37,0.030996555187367523,0.030996555187367523,0
deconstructsigs,SP50412,SBS38,0,0,0
deconstructsigs,SP50412,SBS39,0,0,0
deconstructsigs,SP50412,SBS4,0,0,0
deconstructsigs,SP50412,SBS40,0,0,0
deconstructsigs,SP50412,SBS41,0,0,0
deconstructsigs,SP50412,SBS42,0,0,0
deconstructsigs,SP50412,SBS43,0,0,0
deconstructsigs,SP50412,SBS44,0,0,0
deconstructsigs,SP50412,SBS45,0,0,0
deconstructsigs,SP50412,SBS46,0,0,0
deconstructsigs,SP50412,SBS47,0,0,0
deconstructsigs,SP50412,SBS48,0,0,0
deconstructsigs,SP50412,SBS49,0,0,0
deconstructsigs,SP50412,SBS5,0.29396536906370324,0.29396536906370324,0
deconstructsigs,SP50412,SBS50,0.012484239692970911,0.012484239692970911,0
deconstructsigs,SP50412,SBS51,0,0,0
deconstructsigs,SP50412,SBS52,0,0,0
deconstructsigs,SP50412,SBS53,0,0,0
deconstructsigs,SP50412,SBS54,0,0,0
deconstructsigs,SP50412,SBS55,0,0,0
deconstructsigs,SP50412,SBS56,0.019048400787341213,0.019048400787341213,0
deconstructsigs,SP50412,SBS57,0,0,0
deconstructsigs,SP50412,SBS58,0,0,0
deconstructsigs,SP50412,SBS59,0,0,0
deconstructsigs,SP50412,SBS6,0,0,0
deconstructsigs,SP50412,SBS60,0,0,0
deconstructsigs,SP50412,SBS7a,0.0007004862301038446,0.0007004862301038446,0
deconstructsigs,SP50412,SBS7b,0,0,0
deconstructsigs,SP50412,SBS7c,0,0,0
